98.4474 0.003688057498
12.9816 0.003688219777
28.3116 0.003689360280
44.7894 0.003688990222
26.3581 0.003688019794
36.7381 0.003689233929
74.2736 0.003688981995
11.9111 0.003688561909
41.4348 0.003689095055
20.8818 0.003689023799
3.2380 0.003688472784
40.8574 0.003688865371
59.5537 0.003688906990
16.7662 0.003688761357
0.1037 0.003695737907
13.8354 0.003688425517
30.4183 0.003688270055
97.8993 0.003688426899
8.5125 0.003688976897
16.6566 0.003689144953
63.5389 0.003689011298
36.6983 0.003688580128
89.4563 0.003688441483
36.2032 0.003688147806
52.5948 0.003688233328
59.7171 0.003689335758
2.4786 0.003688938989
15.1736 0.003689095760
49.6606 0.003688668794
8.1933 0.003688627345
1.3722 0.003688150932
40.1234 0.003689538042
51.4942 0.003688334140
17.3654 0.003688354074
81.9708 0.003688425479
9.9822 0.003688209154
12.6638 0.003687213091
68.5562 0.003688553410
34.9011 0.003690060290
37.7857 0.003690222677
10.8704 0.003691053320
25.9701 0.003689453009
23.6605 0.003688199671
10.3686 0.003689730633
39.3451 0.003689168432
4.2461 0.003689282127
36.8726 0.003688797655
53.4906 0.003688706942
7.2301 0.003688278618
19.6140 0.003687876768
10.0767 0.003687977832
67.3897 0.003688923886
25.8730 0.003688569845
48.5045 0.003689123141
37.4749 0.003688113516
34.2697 0.003689853627
82.4303 0.003688933590
27.6442 0.003690255237
4.6650 0.003689246088
25.5623 0.003689210145
2.8292 0.003689643357
39.1819 0.003689726944
8.8662 0.003689347001
67.9115 0.003688349042
22.6818 0.003688557541
96.2878 0.003688524804
57.8253 0.003689285044
17.8739 0.003688683644
6.1448 0.003689311403
1.2593 0.003688751264
18.5993 0.003689598874
37.0473 0.003688764178
73.9895 0.003688189170
25.3560 0.003688246100
Error rate on Training Data.
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0205 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.3294 Predicted 1.0 Actual 1.0
Value 1.2741 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.3363 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 0.3709 Predicted 1.0 Actual 1.0
Value 0.7095 Predicted 1.0 Actual 1.0
Value 1.2847 Predicted 1.0 Actual 1.0
Value 1.9914 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value 1.0000 Predicted 1.0 Actual 1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.6038 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -0.6204 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.5628 Predicted -1.0 Actual -1.0
Value -1.0377 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0404 Predicted -1.0 Actual -1.0
Value -1.4756 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -0.9660 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -0.8585 Predicted -1.0 Actual -1.0
Value -0.9802 Predicted -1.0 Actual -1.0
Value -2.5805 Predicted -1.0 Actual -1.0
Value -0.9419 Predicted -1.0 Actual -1.0
Value -0.5884 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -0.8592 Predicted -1.0 Actual -1.0
Value -1.5338 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.1840 Predicted -1.0 Actual -1.0
Value -1.2637 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -0.5520 Predicted -1.0 Actual -1.0
Value -1.0747 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.2536 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.1692 Predicted -1.0 Actual -1.0
Value -3.0961 Predicted -1.0 Actual -1.0
Value -1.4592 Predicted -1.0 Actual -1.0
Value -1.7970 Predicted -1.0 Actual -1.0
Value -1.0621 Predicted -1.0 Actual -1.0
Value -2.1068 Predicted -1.0 Actual -1.0
Value -1.5534 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.9782 Predicted -1.0 Actual -1.0
Value -1.9549 Predicted -1.0 Actual -1.0
Value -1.8608 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.4667 Predicted -1.0 Actual -1.0
Value -1.8898 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -2.2961 Predicted -1.0 Actual -1.0
Value -1.9667 Predicted -1.0 Actual -1.0
Value -1.5590 Predicted -1.0 Actual -1.0
Value -1.8460 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -0.3244 Predicted -1.0 Actual -1.0
Value -0.8520 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.4152 Predicted -1.0 Actual -1.0
Value -1.1252 Predicted -1.0 Actual -1.0
Value -1.0078 Predicted -1.0 Actual -1.0
Value -1.4082 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.1130 Predicted -1.0 Actual -1.0
Value -2.5376 Predicted -1.0 Actual -1.0
Value -1.6925 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0749 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.1304 Predicted -1.0 Actual -1.0
Value -1.1413 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -0.8779 Predicted -1.0 Actual -1.0
Value -1.6214 Predicted -1.0 Actual -1.0
Value -1.3606 Predicted -1.0 Actual -1.0
Value -0.9414 Predicted -1.0 Actual -1.0
Value -0.4298 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -1.2589 Predicted -1.0 Actual -1.0
Value -1.9316 Predicted -1.0 Actual -1.0
Value -1.0295 Predicted -1.0 Actual -1.0
Value -1.0000 Predicted -1.0 Actual -1.0
Value -2.1449 Predicted -1.0 Actual -1.0
Error Rate: 0.000 Train Interval: (0.000, 0.000)
Error rate on Testing Data.
Value 0.8192 Predicted 1.0 Actual 1.0
Value 0.6120 Predicted 1.0 Actual 1.0
Value 1.3947 Predicted 1.0 Actual 1.0
Value 0.5396 Predicted 1.0 Actual 1.0
Value 0.7693 Predicted 1.0 Actual 1.0
Value 0.9159 Predicted 1.0 Actual 1.0
Value 1.2340 Predicted 1.0 Actual 1.0
Value 0.4889 Predicted 1.0 Actual 1.0
Value 0.3336 Predicted 1.0 Actual 1.0
Value 0.4041 Predicted 1.0 Actual 1.0
Value 0.7326 Predicted 1.0 Actual 1.0
Value 0.4913 Predicted 1.0 Actual 1.0
Value 0.3264 Predicted 1.0 Actual 1.0
Value 0.5787 Predicted 1.0 Actual 1.0
Value 1.6263 Predicted 1.0 Actual 1.0
Value 1.4878 Predicted 1.0 Actual 1.0
Value 1.9049 Predicted 1.0 Actual 1.0
Value 0.1702 Predicted 1.0 Actual 1.0
Value 1.6584 Predicted 1.0 Actual 1.0
Value 1.4879 Predicted 1.0 Actual 1.0
Value 0.5303 Predicted 1.0 Actual 1.0
Value 2.1101 Predicted 1.0 Actual 1.0
Value 2.0314 Predicted 1.0 Actual 1.0
Value 2.6693 Predicted 1.0 Actual 1.0
Value -0.0537 Predicted -1.0 Actual 1.0
Value 1.0901 Predicted 1.0 Actual 1.0
Value 0.9587 Predicted 1.0 Actual 1.0
Value 0.7574 Predicted 1.0 Actual 1.0
Value 0.3519 Predicted 1.0 Actual 1.0
Value 1.2885 Predicted 1.0 Actual 1.0
Value 0.6685 Predicted 1.0 Actual 1.0
Value 1.0089 Predicted 1.0 Actual 1.0
Value 1.1130 Predicted 1.0 Actual 1.0
Value -1.2636 Predicted -1.0 Actual 1.0
Value 0.6786 Predicted 1.0 Actual 1.0
Value 0.7132 Predicted 1.0 Actual 1.0
Value 1.2150 Predicted 1.0 Actual 1.0
Value 0.9962 Predicted 1.0 Actual 1.0
Value 0.6503 Predicted 1.0 Actual 1.0
Value 1.0210 Predicted 1.0 Actual 1.0
Value 1.1254 Predicted 1.0 Actual 1.0
Value -2.0283 Predicted -1.0 Actual -1.0
Value -0.6323 Predicted -1.0 Actual -1.0
Value -1.1431 Predicted -1.0 Actual -1.0
Value -0.3751 Predicted -1.0 Actual -1.0
Value -1.7730 Predicted -1.0 Actual -1.0
Value -0.8875 Predicted -1.0 Actual -1.0
Value -1.1267 Predicted -1.0 Actual -1.0
Value -0.7111 Predicted -1.0 Actual -1.0
Value -0.7972 Predicted -1.0 Actual -1.0
Value -0.2902 Predicted -1.0 Actual -1.0
Value -1.0673 Predicted -1.0 Actual -1.0
Value -0.4354 Predicted -1.0 Actual -1.0
Value -0.8501 Predicted -1.0 Actual -1.0
Value -1.4487 Predicted -1.0 Actual -1.0
Value -1.1396 Predicted -1.0 Actual -1.0
Value -0.3965 Predicted -1.0 Actual -1.0
Value -1.8921 Predicted -1.0 Actual -1.0
Value -1.9147 Predicted -1.0 Actual -1.0
Value -1.7704 Predicted -1.0 Actual -1.0
Value 0.6597 Predicted 1.0 Actual -1.0
Value -1.0689 Predicted -1.0 Actual -1.0
Value -1.6649 Predicted -1.0 Actual -1.0
Value -3.2202 Predicted -1.0 Actual -1.0
Value -1.0273 Predicted -1.0 Actual -1.0
Value -1.0928 Predicted -1.0 Actual -1.0
Value -1.1088 Predicted -1.0 Actual -1.0
Value -0.9941 Predicted -1.0 Actual -1.0
Value -1.0953 Predicted -1.0 Actual -1.0
Value -0.5406 Predicted -1.0 Actual -1.0
Value -2.3122 Predicted -1.0 Actual -1.0
Value -1.0686 Predicted -1.0 Actual -1.0
Value -0.2284 Predicted -1.0 Actual -1.0
Value -0.6256 Predicted -1.0 Actual -1.0
Value -0.1366 Predicted -1.0 Actual -1.0
Value -0.6354 Predicted -1.0 Actual -1.0
Value -0.3801 Predicted -1.0 Actual -1.0
Value -0.5697 Predicted -1.0 Actual -1.0
Value -0.4893 Predicted -1.0 Actual -1.0
Value -0.5823 Predicted -1.0 Actual -1.0
Value -0.8802 Predicted -1.0 Actual -1.0
Value -1.8921 Predicted -1.0 Actual -1.0
Error Rate: 0.037 Train Interval: (-0.004, 0.077)

