# time height velocity acceleration mass thrust air_resistance
84.857143 57342.032161 121.116536 -32.428878 0.284058 0.000000 0.072400
86.428571 57492.318408 1233.436261 1448.108529 0.111938 173.161519 7.461458
88.000000 61218.546125 2203.085120 -214.009981 0.111938 0.000000 20.354380
89.571429 64416.300214 1915.252571 -152.322354 0.111938 0.000000 13.449182
91.142857 67237.911348 1703.925443 -116.639445 0.111938 0.000000 9.454904
92.714286 69771.494465 1538.367620 -94.070512 0.111938 0.000000 6.928580
94.285714 72072.781012 1402.480165 -78.877159 0.111938 0.000000 5.227864
95.857143 74179.289268 1286.944458 -68.168285 0.111938 0.000000 4.029133
97.428571 76117.463595 1185.965227 -60.350736 0.111938 0.000000 3.154051
99.000000 77906.608554 1095.737431 -54.484641 0.111938 0.000000 2.497412
100.571429 79561.209806 1013.654212 -49.984910 0.111938 0.000000 1.993720
102.142857 81092.378934 937.867320 -46.471134 0.111938 0.000000 1.600394
103.714286 82508.792812 867.028818 -43.686960 0.111938 0.000000 1.288739
105.285714 83817.326647 800.132054 -41.454376 0.111938 0.000000 1.038828
106.857143 85023.493552 736.409859 -39.646599 0.111938 0.000000 0.836469
108.428571 86131.757631 675.267172 -38.171366 0.111938 0.000000 0.671334
110.000000 87145.761806 616.235156 -36.960290 0.111938 0.000000 0.535768
111.571429 88068.496693 558.939158 -35.961890 0.111938 0.000000 0.424009
113.142857 88902.427730 503.075818 -35.136906 0.111938 0.000000 0.331662
114.714286 89649.592120 448.396397 -34.455084 0.111938 0.000000 0.255340
116.285714 90311.673549 394.694388 -33.892927 0.111938 0.000000 0.192413
117.857143 90890.060198 341.796152 -33.432102 0.111938 0.000000 0.140830
119.428571 91385.890026 1501.711121 1509.687517 0.043154 69.200331 2.662468
121.000000 95609.723721 2545.940555 -180.668237 0.043154 0.000000 6.408156
122.571429 99387.417483 2297.629272 -135.364304 0.043154 0.000000 4.453099
124.142857 102830.844290 2106.994233 -107.262109 0.043154 0.000000 3.240370
125.714286 106009.399357 1953.081663 -88.626615 0.043154 0.000000 2.436170
127.285714 108969.100946 1824.004214 -75.653775 0.043154 0.000000 1.876337
128.857143 111741.984030 1712.481251 -66.284541 0.043154 0.000000 1.472015
130.428571 114351.184879 1613.791280 -59.320876 0.043154 0.000000 1.171503
132.000000 116813.899483 1524.733687 -54.025151 0.043154 0.000000 0.942970
133.571429 119143.205039 1443.060867 -49.922075 0.043154 0.000000 0.765905
135.142857 121349.233635 1367.148452 -46.693726 0.043154 0.000000 0.626588
136.714286 123439.957317 1295.794252 -44.120710 0.043154 0.000000 0.515551
138.285714 125421.729856 1228.090601 -42.047573 0.043154 0.000000 0.426087
139.857143 127299.670634 1163.340499 -40.361648 0.043154 0.000000 0.353332
141.428571 129077.942853 1101.000885 -38.979679 0.043154 0.000000 0.293694
143.000000 130759.959129 1040.643278 -37.839093 0.043154 0.000000 0.244473
144.571429 132348.536011 981.925863 -36.892162 0.043154 0.000000 0.203609
146.142857 133846.011841 924.573298 -36.102011 0.043154 0.000000 0.169510
147.714286 135254.337806 868.361856 -35.439824 0.043154 0.000000 0.140934
149.285714 136575.149103 813.108319 -34.882859 0.043154 0.000000 0.116899
150.857143 137809.821094 758.661565 -34.413009 0.043154 0.000000 0.096623
152.428571 138959.514021 704.896111 -34.015750 0.043154 0.000000 0.079479
154.000000 140025.208871 651.707099 -33.679355 0.043154 0.000000 0.064962
155.571429 141007.736334 599.006367 -33.394304 0.043154 0.000000 0.052661
157.142857 141907.800311 546.719328 -33.152836 0.043154 0.000000 0.042241
158.714286 142725.997079 3018.394255 3178.920926 0.010000 33.354967 1.244017
160.285714 151394.182256 5282.822171 -296.921761 0.010000 0.000000 2.647478
161.857143 159329.152473 4896.222583 -195.114079 0.010000 0.000000 1.629401
163.428571 166782.310373 4633.800834 -138.877238 0.010000 0.000000 1.067032
165.000000 173892.526522 4442.251753 -104.912501 0.010000 0.000000 0.727385
166.571429 180743.673025 4294.488570 -83.149732 0.010000 0.000000 0.509757
168.142857 187389.490598 4175.242021 -68.618602 0.010000 0.000000 0.364446
169.714286 193865.862234 4075.266761 -58.622638 0.010000 0.000000 0.264486
171.285714 200197.471846 3988.669345 -51.592255 0.010000 0.000000 0.194183
172.857143 206401.680176 3911.547143 -46.563276 0.010000 0.000000 0.143893
174.428571 212490.905724 3841.240337 -42.918114 0.010000 0.000000 0.107441
176.000000 218474.149807 3775.895554 -40.247974 0.010000 0.000000 0.080740
177.571429 224358.006037 3714.198822 -38.275141 0.010000 0.000000 0.061011
179.142857 230147.346103 3655.205710 -36.807001 0.010000 0.000000 0.046330
180.714286 235845.795411 3598.229849 -35.707731 0.010000 0.000000 0.035337
182.285714 241456.068487 3542.767872 -34.880240 0.010000 0.000000 0.027062
183.857143 246980.208725 3488.447814 -34.254380 0.010000 0.000000 0.020804
185.428571 252419.761616 3434.993027 -33.778984 0.010000 0.000000 0.016050
187.000000 257775.901097 3382.196613 -33.416452 0.010000 0.000000 0.012425
188.571429 263049.522400 3329.903067 -33.138970 0.010000 0.000000 0.009650
190.142857 268241.310735 3277.994996 -32.925847 0.010000 0.000000 0.007518
191.714286 273351.792388 3226.383422 -32.761612 0.010000 0.000000 0.005876
193.285714 278381.372918 3175.000648 -32.634647 0.010000 0.000000 0.004606
194.857143 283330.365852 3123.794990 -32.536191 0.010000 0.000000 0.003622
196.428571 288199.014314 3072.726857 -32.459614 0.010000 0.000000 0.002856
198.000000 292987.507403 3021.765828 -32.399878 0.010000 0.000000 0.002259
199.571429 297695.992630 2970.888452 -32.353146 0.010000 0.000000 0.001791
201.142857 302324.585396 2920.076602 -32.316482 0.010000 0.000000 0.001425
202.714286 306873.376236 2869.316223 -32.287636 0.010000 0.000000 0.001136
204.285714 311342.436383 2818.596388 -32.264882 0.010000 0.000000 0.000909
205.857143 315731.822026 2767.908573 -32.246882 0.010000 0.000000 0.000729
207.428571 320041.577613 2717.246119 -32.232605 0.010000 0.000000 0.000586
209.000000 324271.738400 2666.603804 -32.221250 0.010000 0.000000 0.000473
210.571429 328422.332426 2615.977525 -32.212196 0.010000 0.000000 0.000382
212.142857 332493.382051 2565.364048 -32.204957 0.010000 0.000000 0.000310
213.714286 336484.905150 2514.760818 -32.199155 0.010000 0.000000 0.000252
215.285714 340396.916050 2464.165810 -32.194492 0.010000 0.000000 0.000205
216.857143 344229.426266 2413.577417 -32.190735 0.010000 0.000000 0.000167
218.428571 347982.445076 2362.994361 -32.187701 0.010000 0.000000 0.000137
